Type,Category,Locale,Series,Set,Id,Name,VariantCount,Variants,Rarities,Quantities,Prices,TotalQuantity
standard,Yaku marii wishlist,International,Neo,Neo Discovery,neo2-37,Corsola,2,Normal | 1st Edition,Uncommon | Uncommon,1 | 0,US$9.35 | US$20.00,1
standard,Yaku marii wishlist,International,Neo,Neo Discovery,neo2-53,Caterpie,2,Normal | 1st Edition,Common | Common,1 | 1,US$1.66 | US$6.97,2
standard,Yaku marii wishlist,International,Neo,Neo Discovery,neo2-56,Kabuto,2,Normal | 1st Edition,Common | Common,1 | 0,US$2.74 | US$11.86,1
standard,Yaku marii wishlist,International,Neo,Neo Discovery,neo2-60,Omanyte,2,Normal | 1st Edition,Common | Common,1 | 0,US$2.35 | US$12.59,1
standard,Yaku marii wishlist,Japanese,VS,Pokémon VS,jpn_versus1-81,Bruno's Machamp,1,1st Edition,Common,0,—,0
standard,Yaku marii wishlist,Japanese,VS,Pokémon VS,jpn_versus1-82,Bruno's Hitmonlee,1,1st Edition,Common,0,—,0
standard,Yaku marii wishlist,Japanese,VS,Pokémon VS,jpn_versus1-83,Bruno's Hitmonchan,2,1st Edition | Tropical Mega Battle 2001,Common | Common,0 | 0,— | —,0
standard,Yaku marii wishlist,Japanese,VS,Pokémon VS,jpn_versus1-84,Bruno's Steelix,1,1st Edition (Holo),Holo Rare,0,—,0
standard,Yaku marii wishlist,Japanese,VS,Pokémon VS,jpn_versus1-85,Bruno's Ursaring,1,1st Edition,Common,1,—,1
standard,Yaku marii wishlist,Japanese,VS,Pokémon VS,jpn_versus1-86,Bruno's Hitmontop,1,1st Edition,Common,0,—,0
standard,Yaku marii wishlist,International,Neo,Neo Revelation,neo3-2,Blissey,2,Holo | 1st Edition,Holo Rare | Holo Rare,0 | 0,US$116.68 | US$172.50,0
standard,Yaku marii wishlist,International,Neo,Neo Revelation,neo3-45,Goldeen,2,Normal | 1st Edition,Common | Common,1 | 0,US$2.76 | US$4.25,1
standard,Yaku marii wishlist,International,Neo,Neo Revelation,neo3-48,Quagsire,2,Normal | 1st Edition,Common | Common,1 | 0,US$6.35 | US$10.84,1
standard,Yaku marii wishlist,International,Neo,Neo Revelation,neo3-51,Shuckle,2,Normal | 1st Edition,Common | Common,1 | 0,US$5.63 | US$17.51,1
standard,Yaku marii wishlist,International,Neo,Neo Destiny,neo4-13,Light Azumarill,2,Holo | 1st Edition,Holo Rare | Holo Rare,1 | 0,US$28.00 | US$151.48,1
standard,Yaku marii wishlist,International,Neo,Neo Destiny,neo4-31,Chansey,2,Normal | 1st Edition,Uncommon | Uncommon,1 | 0,US$23.54 | US$47.99,1
standard,Yaku marii wishlist,International,Neo,Neo Destiny,neo4-44,Jigglypuff,2,Normal | 1st Edition,Uncommon | Uncommon,0 | 0,US$18.33 | US$34.52,0
standard,Yaku marii wishlist,International,Neo,Neo Destiny,neo4-56,Togepi,2,Normal | 1st Edition,Uncommon | Uncommon,1 | 0,US$33.19 | US$59.43,1
standard,Yaku marii wishlist,International,Neo,Neo Destiny,neo4-63,Dratini,2,Normal | 1st Edition,Common | Common,1 | 0,US$15.58 | US$16.35,1
standard,Yaku marii wishlist,International,Neo,Neo Destiny,neo4-66,Girafarig,2,Normal | 1st Edition,Common | Common,1 | 0,US$9.09 | US$9.57,1
standard,Yaku marii wishlist,International,Neo,Neo Destiny,neo4-79,Psyduck,2,Normal | 1st Edition,Common | Common,1 | 0,US$31.07 | US$52.50,1
standard,Yaku marii wishlist,International,e-Card,Expedition Base Set,ecard1-24,Poliwrath,2,Holo | Reverse Holo,Holo Rare | Holo Rare,1 | 0,US$74.66 | US$59.00,1
standard,Yaku marii wishlist,International,e-Card,Expedition Base Set,ecard1-89,Poliwhirl,2,Normal | Reverse Holo,Uncommon | Uncommon,1 | 0,US$21.18 | US$53.93,1
standard,Yaku marii wishlist,International,e-Card,Expedition Base Set,ecard1-125,Poliwag,2,Normal | Reverse Holo,Common | Common,1 | 0,US$18.13 | US$50.00,1
standard,Yaku marii wishlist,International,e-Card,Expedition Base Set,ecard1-128,Rattata,2,Normal | Reverse Holo,Common | Common,1 | 0,US$8.16 | US$36.00,1
standard,Yaku marii wishlist,International,e-Card,Expedition Base Set,ecard1-131,Squirtle,2,Normal | Reverse Holo,Common | Common,0 | 0,US$40.58 | US$90.00,0
standard,Yaku marii wishlist,International,e-Card,Expedition Base Set,ecard1-136,Vulpix,2,Normal | Reverse Holo,Common | Common,1 | 0,US$20.34 | US$72.99,1
