card_id,name,set,era,number,sheet_no,owned,imageUrl,url,enriched,enriched_method,variation_type,count,ordered,languages,default_language,available_languages
unnumbered-releases-pokemon-plaza-promo,Pokemon Plaza,Unnumbered Releases,Unnumbered Promo,001,0,no,https://archives.bulbagarden.net/media/upload/d/de/PokémonPlazaCoroCoroPromo.jpg,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Plaza_(CoroCoro_promo),TRUE,web_scraping,jumbo,0,FALSE,Japanese,JP,JP
neodiscovery-037,Corsola,Neo Discovery,Neo,037,1,no,https://www.serebii.net/card/neodiscovery/37.jpg,https://www.serebii.net/card/neodiscovery/037.shtml,TRUE,web_scraping,normal,0,FALSE,English,EN,EN|JP
neodiscovery-037,Corsola,Neo Discovery,Neo,037,1,no,https://www.serebii.net/card/neodiscovery/37.jpg,https://www.serebii.net/card/neodiscovery/037.shtml,TRUE,web_scraping,first_edition,0,FALSE,English,EN,EN
neodiscovery-053,Caterpie,Neo Discovery,Neo,053,2,no,https://www.serebii.net/card/neodiscovery/53.jpg,https://www.serebii.net/card/neodiscovery/053.shtml,TRUE,web_scraping,normal,0,FALSE,English,EN,EN|JP
neodiscovery-053,Caterpie,Neo Discovery,Neo,053,2,no,https://www.serebii.net/card/neodiscovery/53.jpg,https://www.serebii.net/card/neodiscovery/053.shtml,TRUE,web_scraping,first_edition,0,FALSE,English,EN,EN
neodiscovery-060,Omanyte,Neo Discovery,Neo,060,4,no,https://www.serebii.net/card/neodiscovery/60.jpg,https://www.serebii.net/card/neodiscovery/060.shtml,TRUE,web_scraping,normal,0,FALSE,English,EN,EN|JP
neodiscovery-060,Omanyte,Neo Discovery,Neo,060,4,no,https://www.serebii.net/card/neodiscovery/60.jpg,https://www.serebii.net/card/neodiscovery/060.shtml,TRUE,web_scraping,first_edition,0,FALSE,English,EN,EN|JP
neorevelation-002,Blissey,Neo Revelation,Neo,002,5,no,https://www.serebii.net/card/neorevelation/2.jpg,https://www.serebii.net/card/neorevelation/002.shtml,TRUE,web_scraping,holo,0,FALSE,,EN,EN
neorevelation-002,Blissey,Neo Revelation,Neo,002,5,no,https://www.serebii.net/card/neorevelation/2.jpg,https://www.serebii.net/card/neorevelation/002.shtml,TRUE,web_scraping,first_edition,0,FALSE,English,EN,EN
neorevelation-045,Goldeen,Neo Revelation,Neo,045,6,no,https://www.serebii.net/card/neorevelation/45.jpg,https://www.serebii.net/card/neorevelation/045.shtml,TRUE,web_scraping,normal,0,FALSE,English,EN,EN|JP
neorevelation-045,Goldeen,Neo Revelation,Neo,045,6,no,https://www.serebii.net/card/neorevelation/45.jpg,https://www.serebii.net/card/neorevelation/045.shtml,TRUE,web_scraping,first_edition,0,FALSE,English,EN,EN
neorevelation-048,Quagsire,Neo Revelation,Neo,048,7,no,https://www.serebii.net/card/neorevelation/48.jpg,https://www.serebii.net/card/neorevelation/048.shtml,TRUE,web_scraping,normal,0,FALSE,English,EN,EN|JP
